RecordID,MeasurementUnitID,CowKey,Branch,BranchValue,TrainingBackground,SHAPValue
MEAS_R000065,MEAS_UNIT_000065,C027,SourceMemoryPredicted,38.6893096477109,38.91842568784033,-0.021557547316405766
MEAS_R000066,MEAS_UNIT_000066,C027,BatchSessionPredicted,38.7542395990895,38.92454922151011,-0.023124184506409698
MEAS_R000066,MEAS_UNIT_000066,C027,HierarchicalResidualPredicted,38.6671304424964,38.91914496603078,-0.2119394183667898
MEAS_R000066,MEAS_UNIT_000066,C027,SourceMemoryPredicted,38.6872721202429,38.92838345064699,-0.010182488762323812
MEAS_R000067,MEAS_UNIT_000067,C027,BatchSessionPredicted,38.7597856783392,38.92231078269489,-0.06944793301180914
MEAS_R000067,MEAS_UNIT_000067,C027,HierarchicalResidualPredicted,38.6857665822737,38.92583767657172,-0.10125281489057504
MEAS_R000067,MEAS_UNIT_000067,C027,SourceMemoryPredicted,38.6203971887426,38.93218175521054,-0.0484114819036677
MEAS_R000068,MEAS_UNIT_000068,C027,BatchSessionPredicted,38.9618029801515,38.90511905160711,0.017982094371310254
MEAS_R000068,MEAS_UNIT_000068,C027,HierarchicalResidualPredicted,38.7514964276039,38.911342637284754,-0.09713508480506176
MEAS_R000068,MEAS_UNIT_000068,C027,SourceMemoryPredicted,38.8107175780294,38.899685525987074,-0.010243112034709173
MEAS_R000069,MEAS_UNIT_000069,C027,BatchSessionPredicted,38.827286012791,38.92476700373594,-0.039560676226959246
MEAS_R000069,MEAS_UNIT_000069,C027,HierarchicalResidualPredicted,38.7367971702124,38.92119432332485,-0.09446968892575576
MEAS_R000069,MEAS_UNIT_000069,C027,SourceMemoryPredicted,38.6574720328793,38.925013228009604,-0.02845732866023914
MEAS_R000070,MEAS_UNIT_000070,C027,BatchSessionPredicted,38.9421131869439,38.92039043710456,0.009808268392290584
MEAS_R000070,MEAS_UNIT_000070,C027,HierarchicalResidualPredicted,38.9887318637171,38.92023963878839,0.03240928493441593
MEAS_R000070,MEAS_UNIT_000070,C027,SourceMemoryPredicted,39.0167959637848,38.91499800662478,0.010151150128461885
MEAS_R000071,MEAS_UNIT_000071,C027,BatchSessionPredicted,38.9436772116737,38.90511905160711,0.012231976345087173
MEAS_R000071,MEAS_UNIT_000071,C027,HierarchicalResidualPredicted,39.0082986771022,38.911342637284754,0.05891808863552953
MEAS_R000071,MEAS_UNIT_000071,C027,SourceMemoryPredicted,39.0956684705241,38.899685525987074,0.022564027875971216
MEAS_R000072,MEAS_UNIT_000072,C027,BatchSessionPredicted,39.1407836317067,38.9315971341168,0.08707235281551627
MEAS_R000072,MEAS_UNIT_000072,C027,HierarchicalResidualPredicted,38.8972448591049,38.93603031743349,-0.023244835196680965
MEAS_R000072,MEAS_UNIT_000072,C027,SourceMemoryPredicted,38.9870046521395,38.93632230805884,-6.474276850984894e-05
MEAS_R000073,MEAS_UNIT_000073,C026,BatchSessionPredicted,38.677165117897,38.91088053589295,-0.041120805642547595
