RecordID,CowKey,BaseValue,SHAPSum,ClipAdjustment,Predicted,SavedPredicted
MEAS_R000164,C008,38.89673366723968,-0.5484336975228175,0.0,38.34829996971686,38.34829996971686
MEAS_R000165,C008,38.91511627920176,-0.708141979276773,0.0,38.20697429992499,38.20697429992499
MEAS_R000166,C008,38.92040302369604,-0.803723075871534,0.0,38.11667994782451,38.11667994782451
MEAS_R000167,C008,38.88295165275932,-0.7663757221616682,0.0,38.11657593059765,38.11657593059765
MEAS_R000168,C008,38.89858156098377,-0.7544467879796686,-7.105427357601002e-15,38.1441347730041,38.1441347730041
MEAS_R000169,C008,38.92222222242296,-0.7895913065351963,-7.105427357601002e-15,38.13263091588776,38.13263091588776
MEAS_R000170,C008,38.92155388873298,-0.7942947418518074,0.0,38.12725914688117,38.12725914688117
MEAS_R000171,C008,38.90954773814833,-0.7337942499468869,7.105427357601002e-15,38.17575348820145,38.17575348820145
MEAS_R000172,C008,38.91608040415947,-0.7360011195497869,0.0,38.18007928460969,38.18007928460969
MEAS_R000173,C008,38.92155388873298,-0.7094802610439401,7.105427357601002e-15,38.212073627689044,38.21207362768904
MEAS_R000174,C008,38.91235154376939,-0.6269177576689762,0.0,38.28543378610041,38.28543378610041
MEAS_R000175,C008,38.91511627920176,-0.7311043186810562,0.0,38.18401196052071,38.18401196052071
MEAS_R000176,C030,38.92222222242296,1.047791066431695,0.0,39.97001328885465,39.97001328885465
MEAS_R000177,C030,38.920347394886576,1.1775841408771166,7.105427357601002e-15,40.0979315357637,40.0979315357637
MEAS_R000178,C030,38.90954773814833,1.3355025138301377,0.0,40.24505025197847,40.24505025197847
MEAS_R000179,C030,38.91896955437967,1.3121816984062717,0.0,40.23115125278594,40.23115125278594
MEAS_R000180,C030,38.904679802745385,1.3263666242533234,-7.105427357601002e-15,40.2310464269987,40.2310464269987
MEAS_R000181,C030,38.90663615432866,1.3108933674874037,0.0,40.21752952181606,40.21752952181606
MEAS_R000182,C030,38.89673366723968,1.239815632338344,0.0,40.13654929957802,40.13654929957802
MEAS_R000183,C030,38.900228311757246,1.2095703088060548,-7.105427357601002e-15,40.109798620563296,40.109798620563296
MEAS_R000184,C030,38.91235154376939,1.2146993123001701,0.0,40.12705085606956,40.12705085606956
MEAS_R000185,C030,38.920347394886576,1.1724871679367777,0.0,40.092834562823356,40.09283456282336
MEAS_R000186,C030,38.91511627920176,1.2378524826614195,0.0,40.15296876186318,40.15296876186318
MEAS_R000187,C030,38.92040302369604,1.2363511607787492,7.105427357601002e-15,40.15675418447479,40.15675418447479
MEAS_R000188,C030,38.91777777756364,1.0849049231814187,7.105427357601002e-15,40.00268270074507,40.00268270074507
MEAS_R000189,C030,38.89673366723968,1.2478623711734818,-7.105427357601002e-15,40.144596038413155,40.14459603841316
MEAS_R000190,C018,38.920347394886576,-0.11158932644823925,0.0,38.80875806843834,38.80875806843834
MEAS_R000191,C018,38.904679802745385,-0.11746854395501749,0.0,38.787211258790364,38.78721125879037
MEAS_R000192,C018,38.91235154376939,-0.10008832652305921,-7.105427357601002e-15,38.812263217246326,38.812263217246326
MEAS_R000193,C018,38.91511627920176,-0.12695162967638468,0.0,38.78816464952538,38.78816464952538
MEAS_R000194,C018,38.887149530636805,-0.12857858092358795,0.0,38.75857094971322,38.75857094971322
MEAS_R000195,C018,38.91896955437967,-0.1520594323751641,-7.105427357601002e-15,38.766910122004504,38.7669101220045
MEAS_R000196,C018,38.91608040415947,-0.14745954992081808,7.105427357601002e-15,38.76862085423866,38.76862085423866
MEAS_R000197,C018,38.890214795702306,-0.13418625136675882,0.0,38.75602854433555,38.75602854433555
MEAS_R000198,C018,38.920347394886576,-0.13715386437656255,7.105427357601002e-15,38.78319353051002,38.78319353051002
MEAS_R000199,C018,38.91511627920176,-0.12279154539558781,-7.105427357601002e-15,38.79232473380617,38.79232473380617
MEAS_R000200,C018,38.91971830990193,-0.16601013489689417,0.0,38.75370817500504,38.75370817500504
MEAS_R000201,C018,38.91511627920176,-0.15277574091526355,0.0,38.762340538286495,38.762340538286495
MEAS_R000202,C025,38.92040302369604,0.46220073971829845,7.105427357601002e-15,39.382603763414345,39.382603763414345
