TargetRowID,TechnicalBaselinePrediction_C,FullPipelinePrediction_C,OfficialOOFPrediction_C,ReconstructedPrediction_C,AdditivityDifference_C,ConditionalVsOfficialDifference_C
236,38.1020109645199,39.37484126197481,39.37484126197481,39.3748412619748,-7.105427357601002e-15,0.0
237,38.105155187913,39.48485521690173,39.48485521690173,39.4848552169017,-2.8421709430404014e-14,0.0
238,38.1953891239478,37.83745030490542,37.83745030490542,37.8374503049054,-2.131628207280301e-14,0.0
239,38.0379342659589,37.78078920371752,37.78078920371752,37.780789203717504,-1.4210854715202004e-14,0.0
240,38.0271984338732,37.90569985649121,37.90569985649121,37.9056998564912,-7.105427357601002e-15,0.0
241,38.0740352475809,37.75042707177471,37.75042707177471,37.7504270717747,-7.105427357601002e-15,0.0
242,38.6534119092749,37.91028845096068,37.91028845096068,37.91028845096071,2.8421709430404014e-14,0.0
243,38.1633168943738,37.78325315602556,37.78325315602556,37.7832531560256,3.5527136788005016e-14,0.0
244,38.0519227967857,38.23272282175874,38.23272282175874,38.23272282175869,-4.973799150320701e-14,0.0
245,38.3450471523964,38.014087159101855,38.014087159101855,38.01408715910189,3.5527136788005016e-14,0.0
246,38.0879480856731,37.84047013943663,37.84047013943663,37.84047013943661,-2.8421709430404014e-14,0.0
247,38.4719461448121,38.206834035636994,38.206834035636994,38.20683403563701,1.4210854715202004e-14,0.0
248,38.4220530672697,37.8194126404395,37.8194126404395,37.8194126404395,0.0,0.0
249,38.0052390868911,38.02411032214519,38.02411032214519,38.024110322145205,1.4210854715202004e-14,0.0
250,38.5218451025565,37.82035073485833,37.82035073485833,37.820350734858295,-3.5527136788005016e-14,0.0
251,38.1107806240544,37.87640422054452,37.87640422054452,37.87640422054451,-1.4210854715202004e-14,0.0
252,38.0582453876717,39.8827874853818,39.8827874853818,39.88278748538179,-7.105427357601002e-15,0.0
253,38.0794939637772,39.07702507568536,39.07702507568536,39.077025075685405,4.263256414560601e-14,0.0
254,38.3628160990969,39.17821458821589,39.17821458821589,39.17821458821589,7.105427357601002e-15,0.0
255,38.4515883328224,39.0052552296256,39.0052552296256,39.00525522962561,1.4210854715202004e-14,0.0
256,38.0399558407759,39.3855728400228,39.3855728400228,39.3855728400228,-7.105427357601002e-15,0.0
257,38.0456573415307,39.42844721561707,39.42844721561707,39.42844721561711,3.5527136788005016e-14,0.0
258,38.3568460478342,39.431335753986886,39.431335753986886,39.43133575398689,7.105427357601002e-15,0.0
259,38.2088880448424,39.31162818129387,39.31162818129387,39.31162818129389,2.131628207280301e-14,0.0
260,38.1857418929877,39.42393153467011,39.42393153467011,39.4239315346701,-7.105427357601002e-15,0.0
261,38.4567132629429,39.93882297635368,39.93882297635368,39.93882297635369,1.4210854715202004e-14,0.0
262,38.415297003329,39.46294898798658,39.46294898798658,39.4629489879866,2.131628207280301e-14,0.0
263,38.4626759137107,39.33620008278477,39.33620008278477,39.3362000827848,2.8421709430404014e-14,0.0
264,38.1725231877307,39.91114325727593,39.91114325727593,39.9111432572759,-2.8421709430404014e-14,0.0
265,38.1047454233194,39.31942641434682,39.31942641434682,39.31942641434679,-2.8421709430404014e-14,0.0
266,38.0893529191407,39.98219791727493,39.98219791727493,39.9821979172749,-2.8421709430404014e-14,0.0
267,38.0918890490099,39.37841186089983,39.37841186089983,39.37841186089981,-2.131628207280301e-14,0.0
268,38.0329112832898,39.57481237123374,39.57481237123374,39.5748123712337,-4.263256414560601e-14,0.0
269,38.0810146079949,38.89601231941569,38.89601231941569,38.896012319415696,7.105427357601002e-15,0.0
270,38.3835415484782,39.1080397923249,39.1080397923249,39.1080397923249,0.0,0.0
271,38.4451409184038,38.77757508581498,38.77757508581498,38.777575085815,2.131628207280301e-14,0.0
272,38.1877080963033,39.164570050764205,39.164570050764205,39.1645700507642,-7.105427357601002e-15,0.0
273,38.4686370883893,39.16318445574588,39.16318445574588,39.16318445574591,2.8421709430404014e-14,0.0
