BootstrapID,N,R2,RMSE,MAE,Bias
83,519,0.8499721950304026,0.27386142174962996,0.147537343714052,-0.0027467774926222105
84,517,0.8393845481739104,0.282736959068873,0.14822020740442013,0.008508884660484786
85,519,0.8951028314768383,0.23246196106821268,0.13058225198853482,-0.002708015051590081
86,516,0.9078696618601291,0.2526267191188034,0.10325145446863174,0.005510286930081537
87,516,0.8887099352709019,0.25762327238644156,0.1296761360055315,0.0005686456772996662
88,522,0.8320509989275716,0.32478632993462797,0.17485579936347395,-0.007616914493742791
89,520,0.8147680900595258,0.31077009921064774,0.17808431315102957,0.00804570552292361
90,523,0.852447829789881,0.25195079032312007,0.1422721792691107,0.006541548584469216
91,524,0.8740274586985295,0.29617336705081365,0.18287131583511826,0.0049135236605591945
92,520,0.7595544810272307,0.3438153468013375,0.18876359974768578,-0.00044555396455209825
93,518,0.8988582186206054,0.26478237984369546,0.13951406741944736,-0.0020822373056162526
94,516,0.859967167746381,0.30890074748009544,0.15487985401238555,-0.0007784512273029542
95,524,0.861228213884458,0.28520304692675513,0.14454397361565474,0.0013731646198219174
96,521,0.8510418545687588,0.2988107121110398,0.16272047199812442,0.011289743195654093
97,519,0.8006765747787268,0.3070575698923548,0.1808749482983139,0.0047945795621357696
98,527,0.7594072244318484,0.35437156827689653,0.207570963182742,0.0027583247357880107
99,518,0.8083834581048478,0.2943050145177426,0.15146533526776196,0.0037236522688229227
100,519,0.8860645262069347,0.2861344535929715,0.15013658502950925,0.002352475520480064
101,519,0.851054443271429,0.3003873312838344,0.15104450278698778,0.010752699818371202
102,520,0.8279532556402056,0.3123302615516243,0.1577995393881193,0.010551742471496959
103,523,0.8129032017764948,0.3475035922714118,0.18510989620549184,-0.007815764475800397
104,520,0.8380888449626951,0.3119294114675941,0.17903288006197854,0.005925288548870001
105,520,0.8670952761660581,0.2824305867451632,0.15142119447605015,-0.000830059223230278
106,519,0.8300823152458613,0.2813198109307327,0.14639514850202318,0.009785889681291076
107,520,0.7578002386291056,0.3583683128354231,0.1904181903693049,0.002560709478803684
108,519,0.8440951480415542,0.2546310758476195,0.14713610808670657,0.003983374377809762
109,522,0.8518465503075116,0.2777289746930467,0.15756313955888215,0.013940584878296712
110,518,0.8824005875848329,0.28419174479517023,0.14036384182056136,0.001501007278372377
111,519,0.8594181299370596,0.31916355089240456,0.16793955906436245,0.0096354556107234
112,522,0.8707234780623495,0.2638164290769062,0.1433085896453848,0.0034123273664503663
113,518,0.8307725686504337,0.28373198137075295,0.1443240256134249,0.0007501825124748589
114,519,0.8076580888818469,0.3482744037106587,0.18319463553804588,0.00894028506822512
115,522,0.8440261110871334,0.2993977737664712,0.1604952197005806,0.0027262467565700404
116,523,0.815395121916094,0.34508358790619426,0.202548607099334,0.009234280980034336
117,515,0.8521905934441223,0.30821431640845987,0.16193559813911387,0.0028442657524755327
118,512,0.7835236214284231,0.33696383873506547,0.17250889131088779,0.00570948818756678
119,517,0.8582208254164054,0.28791498402246984,0.1587402783154652,-3.717764366139615e-05
120,521,0.8532032188230008,0.2835978628469631,0.1786403555615016,0.012594883716784262
121,514,0.9067383434139172,0.21840653745280988,0.11310682479310837,0.005468697399866688
122,526,0.82601148825618,0.32800304049963247,0.17346432991477478,-0.009247020713695112
123,521,0.8199922076249752,0.3105503584870186,0.16631797472196333,-0.0011977810755669433
124,516,0.9373563618145331,0.19844287926640616,0.11251528823134864,0.011684051127915922
125,526,0.8244527907352703,0.3171000228819689,0.1879069161323089,-0.009629181028557459
126,522,0.8003226595948365,0.31309541646480366,0.16181484378585637,0.0043587269874841295
127,523,0.8782394285546982,0.2786274141128418,0.16188575092719185,0.005451360193234033
128,529,0.8542637284601704,0.3049821022230009,0.1786522747696001,0.006279038617682816
