Ear_surface_temperature_C,Local_ambient_temperature_C,Measured_core_temperature_C,Predicted_core_temperature_C,Raw_temperature_gap_C,Residual_measured_minus_predicted_C,Raw_absolute_error_C,Compensated_absolute_error_C,Bland_Altman_mean_C
33.3,6.1,38.8,38.81047360496613,5.5,-0.010473604966129813,5.5,0.010473604966129813,38.805236802483066
33.6,6.8,38.4,38.49839354005401,4.799999999999997,-0.09839354005401191,4.799999999999997,0.09839354005401191,38.449196770027
33.9,11.2,38.3,38.23250111821135,4.399999999999999,0.06749888178864438,4.399999999999999,0.06749888178864438,38.26625055910567
32.6,6.0,39.7,39.71564299426979,7.100000000000001,-0.015642994269789767,7.100000000000001,0.015642994269789767,39.7078214971349
33.2,5.4,39.6,39.60129967651978,6.399999999999999,-0.0012996765197783589,6.399999999999999,0.0012996765197783589,39.60064983825989
33.5,5.5,39.2,39.20195856503849,5.700000000000003,-0.0019585650384854603,5.700000000000003,0.0019585650384854603,39.20097928251924
35.7,6.1,38.1,38.12116832890243,2.3999999999999986,-0.02116832890242648,2.3999999999999986,0.02116832890242648,38.11058416445121
36.3,8.0,38.5,38.72936381458528,2.200000000000003,-0.22936381458527677,2.200000000000003,0.22936381458527677,38.614681907292635
33.2,9.0,38.5,38.50079476044965,5.299999999999997,-0.0007947604496507665,5.299999999999997,0.0007947604496507665,38.500397380224825
29.8,5.4,38.0,37.980210487785946,8.2,0.019789512214053673,8.2,0.019789512214053673,37.99010524389297
31.9,6.8,38.0,37.98417758261223,6.100000000000001,0.015822417387767018,6.100000000000001,0.015822417387767018,37.99208879130612
33.3,8.0,38.2,38.18076381245015,4.900000000000006,0.01923618754985057,4.900000000000006,0.01923618754985057,38.19038190622508
33.8,8.8,38.6,38.60340750965108,4.800000000000004,-0.003407509651076168,4.800000000000004,0.003407509651076168,38.601703754825536
33.9,9.1,38.5,38.523948319271625,4.600000000000001,-0.023948319271624996,4.600000000000001,0.023948319271624996,38.51197415963581
32.5,6.0,39.1,39.09459821852908,6.600000000000001,0.005401781470922629,6.600000000000001,0.005401781470922629,39.09729910926454
33.2,9.1,38.7,38.65854442693984,5.5,0.04145557306016201,5.5,0.04145557306016201,38.67927221346992
32.1,9.0,39.4,39.24375386340631,7.299999999999997,0.1562461365936869,7.299999999999997,0.1562461365936869,39.32187693170316
32.5,8.0,38.7,38.6468037194536,6.200000000000003,0.05319628054640191,6.200000000000003,0.05319628054640191,38.6734018597268
32.3,9.1,39.5,39.39803492485255,7.200000000000003,0.10196507514744724,7.200000000000003,0.10196507514744724,39.449017462426276
32.9,9.0,38.3,38.29605325079647,5.399999999999999,0.0039467492035285545,5.399999999999999,0.0039467492035285545,38.298026625398236
28.2,5.4,38.5,38.48090146696415,10.3,0.019098533035851517,10.3,0.019098533035851517,38.49045073348208
30.4,5.0,38.5,38.40333784048292,8.100000000000001,0.09666215951708068,8.100000000000001,0.09666215951708068,38.45166892024146
33.5,11.2,38.0,37.97522359342937,4.5,0.024776406570630627,4.5,0.024776406570630627,37.98761179671469
31.7,6.9,39.2,39.185784511779225,7.5000000000000036,0.014215488220777672,7.5000000000000036,0.014215488220777672,39.19289225588962
32.8,9.3,38.8,38.54189567922226,6.0,0.2581043207777398,6.0,0.2581043207777398,38.67094783961113
32.4,11.2,39.1,39.08190499360579,6.700000000000003,0.01809500639421202,6.700000000000003,0.01809500639421202,39.0909524968029
34.4,30.1,40.1,39.96627860164304,5.700000000000003,0.13372139835696117,5.700000000000003,0.13372139835696117,40.03313930082152
36.7,34.4,39.4,39.42408752443916,2.6999999999999957,-0.02408752443916029,2.6999999999999957,0.02408752443916029,39.41204376221958
35.5,33.1,39.9,39.866541240128186,4.399999999999999,0.033458759871813015,4.399999999999999,0.033458759871813015,39.883270620064096
36.2,32.9,39.5,39.393338099869005,3.299999999999997,0.10666190013099452,3.299999999999997,0.10666190013099452,39.4466690499345
32.0,27.4,39.6,39.783918498462654,7.600000000000001,-0.18391849846265274,7.600000000000001,0.18391849846265274,39.69195924923133
35.8,34.1,39.2,39.09009853190078,3.4000000000000057,0.10990146809922408,3.4000000000000057,0.10990146809922408,39.14504926595039
37.3,35.6,40.4,40.112307406822346,3.1000000000000014,0.2876925931776526,3.1000000000000014,0.2876925931776526,40.25615370341117
