Actual,Predicted,Method,Residual,AbsoluteError
39.6,39.63960007741951,Full TH-SHRC,-0.03960007741950733,0.03960007741950733
38.6,39.49880250971779,Full TH-SHRC,-0.8988025097177896,0.8988025097177896
39.3,39.37655080110809,Full TH-SHRC,-0.0765508011080911,0.0765508011080911
40.6,40.44384654894706,Full TH-SHRC,0.1561534510529441,0.1561534510529441
39.0,39.11212365244342,Full TH-SHRC,-0.11212365244342237,0.11212365244342237
39.5,39.51527383920829,Full TH-SHRC,-0.015273839208290951,0.015273839208290951
39.4,39.53209959914663,Full TH-SHRC,-0.13209959914663472,0.13209959914663472
39.3,39.036279843310936,Full TH-SHRC,0.263720156689061,0.263720156689061
39.4,39.686931958530494,Full TH-SHRC,-0.286931958530495,0.286931958530495
38.5,38.79995639723368,Full TH-SHRC,-0.29995639723367873,0.29995639723367873
38.2,38.34848631453329,Full TH-SHRC,-0.14848631453328665,0.14848631453328665
38.2,38.35583464692724,Full TH-SHRC,-0.15583464692723936,0.15583464692723936
40.0,39.24811100645142,Full TH-SHRC,0.7518889935485831,0.7518889935485831
38.5,38.60603866212211,Full TH-SHRC,-0.10603866212210988,0.10603866212210988
39.7,39.45093110896719,Full TH-SHRC,0.24906889103281316,0.24906889103281316
39.6,39.42288232708404,Full TH-SHRC,0.17711767291596203,0.17711767291596203
40.7,39.329462415469074,Full TH-SHRC,1.370537584530929,1.370537584530929
40.6,39.3319335549542,Full TH-SHRC,1.268066445045804,1.268066445045804
39.3,39.18392237343265,Full TH-SHRC,0.11607762656734621,0.11607762656734621
39.0,39.1905811206477,Full TH-SHRC,-0.19058112064769972,0.19058112064769972
38.0,38.3498500227104,Full TH-SHRC,-0.3498500227103989,0.3498500227103989
38.4,38.557348308431045,Full TH-SHRC,-0.15734830843104675,0.15734830843104675
40.5,40.39714155692494,Full TH-SHRC,0.10285844307505698,0.10285844307505698
38.3,38.31836257583106,Full TH-SHRC,-0.0183625758310626,0.0183625758310626
38.2,38.38710429692514,Full TH-SHRC,-0.18710429692513486,0.18710429692513486
39.0,38.95473981710774,Full TH-SHRC,0.04526018289225675,0.04526018289225675
38.8,38.78222102416623,Full TH-SHRC,0.017778975833763866,0.017778975833763866
39.0,38.96082170406776,Full TH-SHRC,0.03917829593223843,0.03917829593223843
38.6,38.50578860405646,Full TH-SHRC,0.09421139594353889,0.09421139594353889
38.6,38.484832072230496,Full TH-SHRC,0.11516792776950524,0.11516792776950524
38.2,38.21974518842628,Full TH-SHRC,-0.019745188426277593,0.019745188426277593
38.5,38.5359615666764,Full TH-SHRC,-0.035961566676398604,0.035961566676398604
39.3,39.28041075290801,Full TH-SHRC,0.01958924709198584,0.01958924709198584
39.7,39.71456708360681,Full TH-SHRC,-0.014567083606806364,0.014567083606806364
39.7,39.69861951203878,Full TH-SHRC,0.001380487961220922,0.001380487961220922
38.0,37.9853738807675,Full TH-SHRC,0.014626119232502788,0.014626119232502788
38.1,38.06909677535535,Full TH-SHRC,0.03090322464465345,0.03090322464465345
38.5,38.4529827948536,Full TH-SHRC,0.047017205146403285,0.047017205146403285
38.4,38.39230665075593,Full TH-SHRC,0.007693349244071612,0.007693349244071612
38.4,38.39551898202879,Full TH-SHRC,0.004481017971208701,0.004481017971208701
38.0,37.96251124702372,Full TH-SHRC,0.03748875297628018,0.03748875297628018
